CG,status,chr,pos,cluster_id
cg03595348,ESS_SIV,2,95334159,single1130
cg14131536,ESS_SIV,2,97724459,single1131
cg15544633,ESS_SIV,2,99155069,single1132
cg04143929,chr2_15504,2,100263050,chr2_15504
cg06150148,ESS_SIV,2,100285668,single1133
cg23719516,ESS_SIV,2,102253997,single1134
cg09003973,ESS_SIV,2,102356070,single1135
cg22022881,chr2_16287,2,105237038,SIV_133
cg22022881,ESS_SIV,2,105237038,SIV_133
cg27422857,chr2_16287,2,105237070,SIV_133
cg27422857,ESS_SIV,2,105237070,SIV_133
cg26874229,chr2_16287,2,105237216,ESS_129
cg26874229,ESS_SIV,2,105237216,ESS_129
cg22878388,chr2_16287,2,105237340,ESS_129
cg22878388,ESS_SIV,2,105237340,ESS_129
cg18192325,chr2_16287,2,105237595,chr2_16287
cg09391405,ESS_SIV,2,105796554,single1140
cg05468156,ESS_SIV,2,106269471,single1141
cg17287107,chr2_16854,2,108288048,chr2_16854
cg08570243,ESS_SIV,2,110212277,single1142
cg09982942,ESS_SIV,2,112140824,single1143
cg01494611,chr2_17518,2,112160646,chr2_17518
cg07905836,chr2_17565,2,112432496,chr2_17565
cg14227325,chr2_17565,2,112432621,chr2_17565
cg02781088,ESS_SIV,2,112434726,single1144
cg21482265,ESS_SIV,2,113235186,ESS_12
cg12889195,ESS_SIV,2,113235267,ESS_12
cg11763394,ESS_SIV,2,113235345,ESS_12
cg21550016,ESS_SIV,2,113235354,ESS_12
cg19083407,ESS_SIV,2,113235566,ESS_12
cg07594247,ESS_SIV,2,113235728,SIV_8
cg02675527,ESS_SIV,2,113273248,single1151
cg09704166,ESS_SIV,2,113274278,single1152
cg06675538,ESS_SIV,2,113275914,SIV_57
cg01577475,ESS_SIV,2,113276005,SIV_57
cg23156509,ESS_SIV,2,113276254,SIV_57
cg22084806,ESS_SIV,2,113503694,single1156
cg23690488,ESS_SIV,2,113542033,single1157
cg19651219,ESS_SIV,2,114662153,SIV_20
cg22670147,ESS_SIV,2,114662164,SIV_20
cg24654266,ESS_SIV,2,114662477,SIV_20
cg21887373,ESS_SIV,2,114662684,SIV_20
cg25619440,chr2_18219,2,117858580,chr2_18219
cg03288922,chr2_18219,2,117858662,chr2_18219
cg22762992,chr2_18219,2,117858802,chr2_18219
cg06940110,chr2_18219,2,117858855,chr2_18219
cg24213669,chr2_18219,2,117859001,chr2_18219
cg00046336,chr2_18219,2,117859655,chr2_18219
cg22545206,chr2_18219,2,117859924,chr2_18219
cg08569850,chr2_18219,2,117860479,chr2_18219
cg19263433,chr2_18219,2,117860576,chr2_18219
cg11380483,chr2_19612,2,127176417,chr2_19612
cg25223285,ESS_SIV,2,127695687,ESS_47
cg03738707,ESS_SIV,2,127695762,ESS_47
cg11059159,ESS_SIV,2,127695872,ESS_47
cg00597225,ESS_SIV,2,127892257,single1165
cg26091304,chr2_19943,2,128425824,chr2_19943
cg05962382,chr2_20121,2,129587472,chr2_20121
cg05903289,ESS_SIV,2,129587633,chr2_20121
cg05903289,chr2_20121,2,129587633,chr2_20121
cg19182557,chr2_20121,2,129587783,chr2_20121
cg14789551,chr2_20121,2,129587833,chr2_20121
cg25239986,chr2_20223,2,130037181,chr2_20223
cg25180228,chr2_20223,2,130037778,chr2_20223
cg18480627,chr2_20223,2,130038010,chr2_20223
cg06679305,chr2_20223,2,130038106,chr2_20223
cg00271807,chr2_20223,2,130038141,chr2_20223
cg09125754,ESS_SIV,2,130129142,single1167
cg07128973,chr2_20236,2,130143860,chr2_20236
cg03731473,chr2_20236,2,130144102,chr2_20236
cg00725722,chr2_20236,2,130144559,chr2_20236
cg26170569,ESS_SIV,2,130229359,SIV_128
cg01568492,ESS_SIV,2,130229392,SIV_128
cg19257464,chr2_20276,2,130251752,chr2_20276
cg14417784,chr2_20276,2,130252109,chr2_20276
cg15845998,chr2_20276,2,130252503,chr2_20276
cg14013597,chr2_20284,2,130288550,chr2_20284
cg14902204,chr2_20284,2,130288741,ESS_46
cg14902204,ESS_SIV,2,130288741,ESS_46
cg04289314,chr2_20284,2,130288908,ESS_46
cg04289314,ESS_SIV,2,130288908,ESS_46
cg15473092,ESS_SIV,2,130288979,ESS_46
cg15473092,chr2_20284,2,130288979,ESS_46
cg00178224,ESS_SIV,2,130596519,single1173
cg14608722,chr2_20475,2,131299018,chr2_20475
cg06332335,chr2_20475,2,131299262,ESS_125
cg06332335,ESS_SIV,2,131299262,ESS_125
